Sample	lon	lat	wc2.0_bio_30s_01	wc2.0_bio_30s_02	wc2.0_bio_30s_03	wc2.0_bio_30s_04	wc2.0_bio_30s_05	wc2.0_bio_30s_06	wc2.0_bio_30s_07	wc2.0_bio_30s_08	wc2.0_bio_30s_09	wc2.0_bio_30s_10	wc2.0_bio_30s_11	wc2.0_bio_30s_12	wc2.0_bio_30s_13	wc2.0_bio_30s_14	wc2.0_bio_30s_15	wc2.0_bio_30s_16	wc2.0_bio_30s_17	wc2.0_bio_30s_18	wc2.0_bio_30s_19
AZCOYE18	-110.25609	31.46085	17.22916654	17.02499987	48.92241341	677.9530005	34.5	-0.300000012	34.80000001	24.78333298	20.78333346	25.64999994	9.149999867	424	104	5	85.53740506	240	27	207	89
AZCOYE19	-110.25609	31.46085	17.22916654	17.02499987	48.92241341	677.9530005	34.5	-0.300000012	34.80000001	24.78333298	20.78333346	25.64999994	9.149999867	424	104	5	85.53740506	240	27	207	89
AZCOYE20	-110.25609	31.46085	17.22916654	17.02499987	48.92241341	677.9530005	34.5	-0.300000012	34.80000001	24.78333298	20.78333346	25.64999994	9.149999867	424	104	5	85.53740506	240	27	207	89
AZCOYE21	-110.25609	31.46085	17.22916654	17.02499987	48.92241341	677.9530005	34.5	-0.300000012	34.80000001	24.78333298	20.78333346	25.64999994	9.149999867	424	104	5	85.53740506	240	27	207	89
AZCOYE22	-110.25609	31.46085	17.22916654	17.02499987	48.92241341	677.9530005	34.5	-0.300000012	34.80000001	24.78333298	20.78333346	25.64999994	9.149999867	424	104	5	85.53740506	240	27	207	89
AZCOYE23	-110.25609	31.46085	17.22916654	17.02499987	48.92241341	677.9530005	34.5	-0.300000012	34.80000001	24.78333298	20.78333346	25.64999994	9.149999867	424	104	5	85.53740506	240	27	207	89
AZCOYE24	-110.25609	31.46085	17.22916654	17.02499987	48.92241341	677.9530005	34.5	-0.300000012	34.80000001	24.78333298	20.78333346	25.64999994	9.149999867	424	104	5	85.53740506	240	27	207	89
AZCOYE27	-110.25609	31.46085	17.22916654	17.02499987	48.92241341	677.9530005	34.5	-0.300000012	34.80000001	24.78333298	20.78333346	25.64999994	9.149999867	424	104	5	85.53740506	240	27	207	89
AZCOYE28	-110.25609	31.46085	17.22916654	17.02499987	48.92241341	677.9530005	34.5	-0.300000012	34.80000001	24.78333298	20.78333346	25.64999994	9.149999867	424	104	5	85.53740506	240	27	207	89
AZCOYE29	-110.25609	31.46085	17.22916654	17.02499987	48.92241341	677.9530005	34.5	-0.300000012	34.80000001	24.78333298	20.78333346	25.64999994	9.149999867	424	104	5	85.53740506	240	27	207	89
BAY_07	-81.381121	27.21894	22.58750025	11.95833365	51.99275069	416.4630724	33.40000153	10.39999962	23.00000191	27.20000045	18.41666698	27.2833341	17.20000013	1227	207	41	61.7941205	578	138	532	152
BRY_12	-81.381121	27.21894	22.58750025	11.95833365	51.99275069	416.4630724	33.40000153	10.39999962	23.00000191	27.20000045	18.41666698	27.2833341	17.20000013	1227	207	41	61.7941205	578	138	532	152
GOM_07	-81.381121	27.21894	22.58750025	11.95833365	51.99275069	416.4630724	33.40000153	10.39999962	23.00000191	27.20000045	18.41666698	27.2833341	17.20000013	1227	207	41	61.7941205	578	138	532	152
